ID,Activa?,Seguro,Asegurado,Tipo,Uso,Vehículo,Inmueble,Otra,Vida y Salud,Comentarios
BMa0245,TRUE,Seg0028,rut0067,Vehículo,Comercial,BMa0245,,,,
BMa0246,FALSE,Seg0028,rut0067,Vehículo,Comercial,BMa0246,,,,
BMa0247,FALSE,Seg0028,rut0067,Vehículo,Comercial,BMa0247,,,,
BMa0248,FALSE,Seg0028,rut0067,Vehículo,Comercial,BMa0248,,,,
BMa0249,FALSE,Seg0028,rut0067,Vehículo,Comercial,BMa0249,,,,
BMa0250,FALSE,Seg0028,rut0067,Vehículo,Comercial,BMa0250,,,,
BMa0251,FALSE,Seg0028,rut0067,Vehículo,Comercial,BMa0251,,,,
BMa0252,TRUE,Seg0028,rut0028,Vehículo,Particular,BMa0252,,,,
BMa0253,FALSE,Seg0028,rut0011,Vehículo,Particular,BMa0253,,,,
BMa0254,TRUE,Seg0028,rut0062,Vehículo,Particular,BMa0254,,,,
BMa0255,FALSE,Seg0028,rut0160,Vehículo,Particular,BMa0255,,,,
BMa0256,FALSE,Seg0028,rut0108,Vehículo,Particular,BMa0256,,,,
BMa0257,TRUE,Seg0028,rut0046,Vehículo,Particular,BMa0257,,,,
BMa0258,FALSE,Seg0028,rut0130,Vehículo,Particular,BMa0258,,,,
BMa0259,FALSE,Seg0028,rut0130,Vehículo,Particular,BMa0259,,,,
BMa0260,FALSE,Seg0028,rut0033,Vehículo,Particular,BMa0260,,,,
BMa0261,TRUE,Seg0028,rut0123,Vehículo,Particular,BMa0261,,,,
BMa0262,FALSE,Seg0028,rut0112,Vehículo,Particular,BMa0262,,,,
BMa0263,FALSE,Seg0028,rut0106,Vehículo,Particular,BMa0263,,,,Vendido
BMa0264,FALSE,Seg0028,rut0001,Vehículo,Particular,BMa0264,,,,
BMa0265,FALSE,Seg0028,rut0132,Vehículo,Particular,BMa0265,,,,
BMa0266,TRUE,Seg0028,rut0131,Vehículo,Particular,BMa0266,,,,
BMa0267,TRUE,Seg0028,rut0028,Vehículo,Particular,BMa0267,,,,
BMa0268,FALSE,Seg0028,rut0172,Vehículo,Particular,BMa0268,,,,
BMa0269,FALSE,Seg0028,rut0172,Vehículo,Particular,BMa0269,,,,
BMa0270,TRUE,Seg0028,rut0049,Vehículo,Particular,BMa0270,,,,
BMa0271,TRUE,Seg0028,rut0057,Vehículo,Comercial,BMa0271,,,,
BMa0272,FALSE,Seg0028,rut0072,Vehículo,Comercial,BMa0272,,,,
BMa0273,FALSE,Seg0028,rut0072,Vehículo,Comercial,BMa0273,,,,
BMa0274,FALSE,Seg0028,rut0072,Vehículo,Comercial,BMa0274,,,,
BMa0275,FALSE,Seg0028,rut0170,Vehículo,Particular,BMa0275,,,,
BMa0276,TRUE,Seg0028,rut0104,Vehículo,Particular,BMa0276,,,,
BMa0277,FALSE,Seg0028,rut0173,Vehículo,Particular,BMa0277,,,,
BMa0278,FALSE,Seg0028,rut0173,Vehículo,Particular,BMa0278,,,,
BMa0279,FALSE,Seg0028,rut0031,Vehículo,Particular,BMa0279,,,,
BMa0280,FALSE,Seg0028,rut0093,Vehículo,Particular,BMa0280,,,,
BMa0281,TRUE,Seg0028,rut0185,Vehículo,Particular,BMa0281,,,,
BMa0282,FALSE,Seg0028,rut0138,Vehículo,Particular,BMa0282,,,,
BMa0283,FALSE,Seg0028,rut0073,Vehículo,Particular,BMa0283,,,,
BMa0284,FALSE,Seg0028,rut0168,Vehículo,Particular,BMa0284,,,,No Pesca
BMa0285,FALSE,Seg0028,rut0115,Vehículo,Particular,BMa0285,,,,
BMa0286,TRUE,Seg0028,rut0167,Vehículo,Particular,BMa0286,,,,
BMa0287,TRUE,Seg0028,rut0167,Vehículo,Particular,BMa0287,,,,
BMa0288,TRUE,Seg0028,rut0092,Vehículo,Particular,BMa0288,,,,
d5c4d539,TRUE,Seg0028,ca0fc53c,Vehículo,Particular,d5c4d539,,,,
ff7028f8,TRUE,Seg0028,590d718b,Vehículo,Particular,ff7028f8,,,,
1eba0546,TRUE,Seg0028,gsetrghrt,Vehículo,Particular,1eba0546,,,,
7455c66f,TRUE,Seg0028,ee1911c5,Vehículo,Particular,7455c66f,,,,
1eaf59fa,TRUE,Seg0028,ee1911c5,Vehículo,Particular,1eaf59fa,,,,
4c6b3e81,TRUE,Seg0028,ee1911c5,Vehículo,Particular,4c6b3e81,,,,
cef152d3,TRUE,Seg0028,rut0047,Vehículo,Particular,cef152d3,,,,
b5f32842,TRUE,Seg0028,rut0056,Vehículo,Particular,b5f32842,,,,
240cbb04,TRUE,Seg0028,rut0183,Vehículo,Particular,240cbb04,,,,
05b29dac,TRUE,Seg0028,bb191c8b,Vehículo,Particular,05b29dac,,,,
dbdfa152,TRUE,Seg0028,bf84f6ef,Vehículo,Particular,dbdfa152,,,,
8275b80c,TRUE,Seg0028,464df1c0,Vehículo,Particular,8275b80c,,,,
0e2a1bcf,TRUE,Seg0028,27f6d1b1,Vehículo,Particular,0e2a1bcf,,,,
2db6d512,TRUE,Seg0028,106a4599,Vehículo,Particular,2db6d512,,,,
f862952c,FALSE,Seg0028,1d711659,Vehículo,Particular,f862952c,,,,no asegurable
