ID,Comisión Base,Factura
aa7a8112,BCom0114,21da6994
2ec15ceb,BCom0114,b82519b3
b5340ad5,7aad9468,a948fa92
fd47a348,f7e58648,87dbacbe
3c9b7590,f7e58648,c1b0a9b8
e0e3f855,BCom0040,0e7b5ad5
c7bf13d6,8246c522,fd98ec58
f22cdbe9,6ac9bfaa,a4fb4042
51f06e84,BCom0185,378528df
af13f3ac,80d28ed1,ff2d193a
f0e3fd2e,cc86c551,5bddb80b
53a15739,cc86c551,f697fc35
5fd738fd,a5f0b82e,162bead4
e18f00f4,a9b606a9,08ede459
9e0ac457,57202de1,7d1b4976
7373d8c9,d8100620,e7c695db
9ede69b0,d6f9a760,5af8ac8e
c5f33e30,6d1d73e7,d5b7bb42
01cab459,58a80cd3,a6073a51
1ced295f,1267ff4c,ac943c15
1db52505,1267ff4c,f10cb181
09b6fc5c,e65d4922,4dbde5fc
4183b016,3c035728,b90c4e03
563ab127,bc34bd84,8d5a861f
8983ba7c,bc34bd84,80ec204f
b3f41216,8151c9bf,c3cee04e
4d314bdc,df93cd2b,28433548
30f241dd,c7ebe2b1,4bfe3cf9
bf03d2c6,8370eee3,a5148207
cb155e1c,6b9d35f0,e0eb20a3
789d5b6d,e0ca27f0,41fa0528
1ae9090a,f200b7d8,df8e6731
dd7be8c9,f7d7f23e,9103071e
c06e66d7,dfbd7df9,9211eb03
429c4e34,e54df3ee,a0d526da
ff360691,a8772552,43b08da6
5947de02,8a8970e3,3eb41311
ad1cfc7f,598473c5,529445f2
a5df71a1,6b9d35f0,f055e3e8
28bffbe2,4cf37a87,3f3b8d74
ac5144aa,dbcbaea7,d4715d81
4b739c18,1c9212b5,623999ad
226d62cf,f5a16638,84cfc8c6
812a0d05,1118d5f5,2f59660f
2f83c494,1118d5f5,98358192
