ID,Fecha Registro,Tipo Registro,Estado Negocio,Estado Renovación,Estado Prospecto,Estado Traspaso,Estado Inclusión,Tipo Materia,Seguro,Cot Aceptada,Póliza,Modifica Materia?,Comisión?,Contratante,Pagador,Cliente,Producto,Ejecutivo,Moneda,UF Prima Afecta,UF Prima Exenta,CLP Prima Afecta,CLP Prima Exenta,USD Prima Afecta,USD Prima Exenta,% Comisión Afecta,% Comisión Exenta,Forma de Pago,N° Cuotas,Valor Cuota,Tipo Inspección,N° Inspección,I Vigencia,Condiciones,Archivos,Comentarios,Fin Gestión,Traspaso Info 1,Traspaso Info 2
Ren0159,28/3/2025,Renovación,,Renovado,,,,Individual,Seg0014,,Pol0225,FALSE,TRUE,rut0165,rut0165,Cli0111,,,UF,,,,,,,17.80%,18.00%,PAC,,,,,,,,,7/4/2025,,
Neg0136,1/4/2025,Negocio,Nulo,,,,,Individual,,Cot0136,,FALSE,TRUE,rut0115,rut0115,Cli0079,,,UF,,,,,,,,,PAT,,,AutoinspecciónNulo,,,,,,11/4/2025,,
Neg0137,1/4/2025,Negocio,Aceptado,,,,,Individual,,Cot0137,,FALSE,TRUE,rut0194,rut0194,Cli0127,,,UF,,,,,,,,,Directa,,,Continuidad,,,,,,11/4/2025,,
Ren0160,5/4/2025,Renovación,,Renovado,,,,Individual,Seg0028,,Pol0226,FALSE,TRUE,rut0078,rut0078,Cli0056,,,UF,,,,,,,15.00%,0.00%,Directa,,,,,,,,,15/4/2025,,
Neg0138,8/4/2025,Negocio,Aceptado,,,,,Individual,Seg0028,Cot0139,,FALSE,TRUE,rut0058,rut0058,Cli0041,,,UF,,,,,,,14.00%,0.00%,PAT,,,Autoinspección,1206509,,,,,18/4/2025,,
Pol0209,8/4/2025,Traspaso,,,,Ok,,Individual,Seg0028,,,FALSE,FALSE,rut0043,rut0043,Cli0033,,,UF,,,,,,,13.00%,0.00%,PAT,,,,,,,,,18/4/2025,,
Ren0161,8/4/2025,Renovación,,Renovado,,,,Individual,Seg0028,,Pol0227,FALSE,TRUE,rut0135,rut0135,Cli0098,,,UF,,,,,,,15.00%,0.00%,PAC,,,,,,,,,18/4/2025,,
Neg0139,9/4/2025,Negocio,Nulo,,,,,Individual,,,,FALSE,TRUE,rut0035,rut0035,Cli0028,,,UF,,,,,,,,,PAT,,,No Aplica,,,,,,19/4/2025,,
Neg0140,9/4/2025,Negocio,Nulo,,,,,Individual,,,,FALSE,TRUE,rut0035,rut0035,Cli0028,,,UF,,,,,,,,,PAT,,,No Aplica,,,,,,19/4/2025,,
Neg0141,9/4/2025,Negocio,Nulo,,,,,Individual,,,,FALSE,TRUE,rut0035,rut0035,Cli0028,,,UF,,,,,,,,,PAT,,,No Aplica,,,,,,19/4/2025,,
Neg0142,9/4/2025,Negocio,Nulo,,,,,Individual,,,,FALSE,TRUE,rut0005,rut0005,Cli0005,,,UF,,,,,,,,,,,,No Aplica,,,,,,19/4/2025,,
Neg0144,9/4/2025,Prospecto,,,Perdido,,,Individual,Seg0028,,,FALSE,,rut0167,rut0167,Cli0113,,,UF,,,,,,,,,,,,No Aplica,,,,,"Seguro Actual: Deducible UF5, anual UF10.78, 12 Cuotas de UF 0.9",19/4/2025,,
Neg0145,9/4/2025,Prospecto,,,Perdido,,,Individual,Seg0028,,,FALSE,,rut0167,rut0167,Cli0113,,,UF,,,,,,,,,,,,No Aplica,,,,,"Deducible UF10, anual UF 15.45, 12 cuotas de UF1.29
No se encontró nada mejor",19/4/2025,,
Ren0162,9/4/2025,Renovación,,Renovado,,,,Individual,Seg0028,,Pol0228,FALSE,TRUE,rut0070,rut0070,Cli0049,,,UF,,,,,,,15.00%,0.00%,PAT,,,,,,,,,19/4/2025,,
