ID,Categoria,Entidad,Compañía,Póliza,Partner,Gestor,Titulo,Descripcion,Tipo,Obligación,FechaInicio,FechaFin,FechaVencimiento,Prioridad,DiasAnticipacionAviso,Activo,Completado,FechaCompletado,FechaCreacion,FechaActualizacion
3c8ee9a1,Cat0006,,,,,,Cobranza 06/05/26,Realizar cobranza,Obligación,985cf347,6/5/2026,,6/5/2026,Media,3,TRUE,FALSE,,3/5/2026 8:00:11,3/5/2026 8:00:11
a0f96ddd,Cat0006,,,,,,Revisar Prospectos 03/05/26,,Obligación,7075efec,3/5/2026,,3/5/2026,Baja,0,TRUE,FALSE,,3/5/2026 8:00:11,3/5/2026 8:00:11
05fd9ce3,Cat0002,17439460,,,,,Pólizas Corredor 01/04/26,Renovar y enviar pólizas de corredor a la CMF,Obligación,812fde8d,1/4/2026,,1/4/2026,Alta,30,TRUE,FALSE,,4/5/2026 8:00:16,4/5/2026 8:00:16
e50d4a7c,Cat0002,17439460,,,,,FECU 01/02/26,Solicitar FECU a las Compañías y enviar a la CMF,Obligación,b9f0045e,1/2/2026,,1/2/2026,Alta,30,TRUE,FALSE,,4/5/2026 8:00:16,4/5/2026 8:00:16
fc6710b5,Cat0010,Prv0001,,,,,Impuestos 01/04/26,Declaración de Impuestos a la Renta,Obligación,bb67619e,1/4/2026,,1/4/2026,Alta,30,TRUE,FALSE,,4/5/2026 8:00:16,4/5/2026 8:00:16
23c2de5d,Cat0006,,,,,,Cobranza 06/05/26,Realizar cobranza,Obligación,985cf347,6/5/2026,,6/5/2026,Media,3,TRUE,FALSE,,4/5/2026 8:00:16,4/5/2026 8:00:16
4bfe38fd,Cat0006,,,,,,Revisar Prospectos 04/05/26,,Obligación,7075efec,4/5/2026,,4/5/2026,Baja,0,TRUE,FALSE,,4/5/2026 8:00:16,4/5/2026 8:00:16
e692709f,Cat0002,17439460,,,,,Pólizas Corredor 01/04/26,Renovar y enviar pólizas de corredor a la CMF,Obligación,812fde8d,1/4/2026,,1/4/2026,Alta,30,TRUE,FALSE,,5/5/2026 8:00:13,5/5/2026 8:00:13
b8bc5c74,Cat0002,17439460,,,,,FECU 01/02/26,Solicitar FECU a las Compañías y enviar a la CMF,Obligación,b9f0045e,1/2/2026,,1/2/2026,Alta,30,TRUE,FALSE,,5/5/2026 8:00:14,5/5/2026 8:00:14
53266535,Cat0010,Prv0001,,,,,Impuestos 01/04/26,Declaración de Impuestos a la Renta,Obligación,bb67619e,1/4/2026,,1/4/2026,Alta,30,TRUE,FALSE,,5/5/2026 8:00:14,5/5/2026 8:00:14
8c237c65,Cat0010,Prv0001,,,,,IVA 20/05/26,Declarar y pagar IVA mensual,Obligación,25263faa,20/5/2026,,20/5/2026,Alta,15,TRUE,FALSE,,5/5/2026 8:00:14,5/5/2026 8:00:14
c1a927e1,Cat0006,,,,,,Cobranza 06/05/26,Realizar cobranza,Obligación,985cf347,6/5/2026,,6/5/2026,Media,3,TRUE,FALSE,,5/5/2026 8:00:14,5/5/2026 8:00:14
92f2458c,Cat0006,,,,,,Revisar Prospectos 05/05/26,,Obligación,7075efec,5/5/2026,,5/5/2026,Baja,0,TRUE,FALSE,,5/5/2026 8:00:14,5/5/2026 8:00:14
0b8e591b,Cat0002,17439460,,,,,Pólizas Corredor 01/04/26,Renovar y enviar pólizas de corredor a la CMF,Obligación,812fde8d,1/4/2026,,1/4/2026,Alta,30,TRUE,FALSE,,6/5/2026 8:00:08,6/5/2026 8:00:08
4b4bf2ea,Cat0002,17439460,,,,,FECU 01/02/26,Solicitar FECU a las Compañías y enviar a la CMF,Obligación,b9f0045e,1/2/2026,,1/2/2026,Alta,30,TRUE,FALSE,,6/5/2026 8:00:09,6/5/2026 8:00:09
a2b6763e,Cat0010,Prv0001,,,,,Impuestos 01/04/26,Declaración de Impuestos a la Renta,Obligación,bb67619e,1/4/2026,,1/4/2026,Alta,30,TRUE,FALSE,,6/5/2026 8:00:09,6/5/2026 8:00:09
f5828b81,Cat0010,Prv0001,,,,,IVA 20/05/26,Declarar y pagar IVA mensual,Obligación,25263faa,20/5/2026,,20/5/2026,Alta,15,TRUE,FALSE,,6/5/2026 8:00:09,6/5/2026 8:00:09
