ID,Tipo Entidad,Asegurado,Gestor,Partner,Banco,Proveedor,Compañía,Carpeta
rut0170,Asegurado,rut0170,,,,,,
rut0175,Asegurado,rut0175,,,,,,
rut0177,Asegurado,rut0177,,,,,,
rut0178,Asegurado,rut0178,,,,,,
rut0179,Asegurado,rut0179,,,,,,
rut0182,Asegurado,rut0182,,,,,,
rut0183,Asegurado,rut0183,,,,,,
590d718b,Asegurado,590d718b,,,,,,
Com0001,Compañía,,,,,,Com0001,
Com0002,Compañía,,,,,,Com0002,
Com0003,Compañía,,,,,,Com0003,
Com0004,Compañía,,,,,,Com0004,
Com0005,Compañía,,,,,,Com0005,
Com0006,Compañía,,,,,,Com0006,
Com0007,Compañía,,,,,,Com0007,
Com0008,Compañía,,,,,,Com0008,
Com0009,Compañía,,,,,,Com0009,
Com0010,Compañía,,,,,,Com0010,
Com0011,Compañía,,,,,,Com0011,
Com0012,Compañía,,,,,,Com0012,
Com0013,Compañía,,,,,,Com0013,
Prv0001,Proveedor,,,,,Prv0001,,
Prv0002,Proveedor,,,,,Prv0002,,
Prv0003,Proveedor,,,,,Prv0003,,
Prv0004,Proveedor,,,,,Prv0004,,
Prv0005,Proveedor,,,,,Prv0005,,
Prv0006,Proveedor,,,,,Prv0006,,
4a0b6b5c,Proveedor,,,,,4a0b6b5c,,
Bank0001,Banco,,,,Bank0001,,,
Bank0002,Banco,,,,Bank0002,,,
f08b235a,Asegurado,f08b235a,,,,,,
ee1911c5,Asegurado,ee1911c5,,,,,,
c752deb1,Asegurado,c752deb1,,,,,,
39a2a0e1,Asegurado,39a2a0e1,,,,,,
bb191c8b,Asegurado,bb191c8b,,,,,,
5f91f222,Asegurado,5f91f222,,,,,,
14584b16,Asegurado,14584b16,,,,,,
17439460,Proveedor,,,,,17439460,,
835a22d1,Proveedor,,,,,835a22d1,,
e3fc465b,Proveedor,,,,,e3fc465b,,
f9868661,Proveedor,,,,,f9868661,,
f86c0819,Proveedor,,,,,f86c0819,,
bf84f6ef,Asegurado,bf84f6ef,,,,,,
e2dd3ebd,Asegurado,e2dd3ebd,,,,,,
464df1c0,Asegurado,464df1c0,,,,,,
78c556e1,Asegurado,78c556e1,,,,,,
27f6d1b1,Asegurado,27f6d1b1,,,,,,
106a4599,Asegurado,106a4599,,,,,,
1d711659,Asegurado,1d711659,,,,,,
52c31de2,Asegurado,52c31de2,,,,,,
217c1ce1,Compañía,,,,,,217c1ce1,
84a83d96,Asegurado,84a83d96,,,,,,
93df6c68,Asegurado,93df6c68,,,,,,
75e51cf5,Asegurado,75e51cf5,,,,,,
ab770ebe,Asegurado,ab770ebe,,,,,,
ffd0ab77,Asegurado,ffd0ab77,,,,,,
217c1ce1ed,Compañía,,,,,,217c1ce1ed,
ca6d987a,Asegurado,ca6d987a,,,,,,
4e4dc021,Asegurado,4e4dc021,,,,,,
a4f3b5c9,Asegurado,a4f3b5c9,,,,,,
836c51dc,Asegurado,836c51dc,,,,,,
2644dba2,Asegurado,2644dba2,,,,,,
f2cb894d,Asegurado,f2cb894d,,,,,,
383801ec,Asegurado,383801ec,,,,,,
40350882,Asegurado,40350882,,,,,,
b3863aef,Asegurado,b3863aef,,,,,,
f1171afe,Asegurado,f1171afe,,,,,,
8ea1e085,Asegurado,8ea1e085,,,,,,
9bd1ff83,Asegurado,9bd1ff83,,,,,,
6b6e06bb,Asegurado,6b6e06bb,,,,,,
2ed05a8a,Partner,,,rut0009,,,,
c38ef34b,Partner,,,rut0399,,,,
