ID,Registro,Póliza
Pol0274,Ren0088,Pol0274
Pol0275,Ren0089,Pol0275
Pol0276,Ren0090,Pol0276
Pol0277,Ren0087,Pol0277
Pol0278,Ren0091,Pol0278
Pol0279,Ren0092,Pol0279
Pol0280,Ren0093,Pol0280
Pol0281,,Pol0281
Pol0282,Ren0094,Pol0282
Pol0283,Neg0105,Pol0283
Pol0284,Ren0096,Pol0284
Pol0285,Neg0104,Pol0285
Pol0286,Ren0095,Pol0286
Pol0287,Neg0106,Pol0287
Pol0288,Ren0097,Pol0288
Pol0289,Ren0098,Pol0289
Pol0290,Ren0099,Pol0290
Pol0291,Ren0100,Pol0291
Pol0292,Ren0101,Pol0292
Pol0293,Ren0102,Pol0293
Pol0294,Ren0103,Pol0294
Pol0295,Ren0105,Pol0295
Pol0296,Ren0106,Pol0296
Pol0297,Ren0107,Pol0297
Pol0298,Ren0106a,Pol0298
Pol0299,Ren0108,Pol0299
Pol0300,Ren0109,Pol0300
Pol0301,Ren0110,Pol0301
Pol0302,Ren0111,Pol0302
Pol0303,Neg0147,Pol0303
Pol0304,Ren0113,Pol0304
Pol0305,Neg0108,Pol0305
Pol0306,Ren0114,Pol0306
Pol0307,Pol0307,Pol0307
Pol0308,Neg0111,Pol0308
Pol0309,Neg0112,Pol0309
Pol0310,Ren0115,Pol0310
Pol0311,Neg0115,Pol0311
Pol0312,Neg0119,Pol0312
Pol0313,Ren0116,Pol0313
Pol0314,Ren0117,Pol0314
Pol0315,Ren0119,Pol0315
Pol0316,Ren0120,Pol0316
Pol0317,Ren0121,Pol0317
Pol0318,Ren0134,Pol0318
Pol0319,Ren0123,Pol0319
Pol0320,Ren0124,Pol0320
Pol0321,Ren0125,Pol0321
Pol0322,Ren0126,Pol0322
Pol0323,Ren0127,Pol0323
Pol0324,Ren0128,Pol0324
Pol0325,Ren0129,Pol0325
Pol0326,Ren0130,Pol0326
Pol0327,Ren0131,Pol0327
Pol0328,Ren0132,Pol0328
Pol0329,Ren0133,Pol0329
Pol0330,Neg0107,Pol0330
Pol0331,Neg0109,Pol0331
Pol0332,Neg0110,Pol0332
Pol0333,Neg0113,Pol0333
Pol0334,Neg0114,Pol0334
Pol0335,Neg0117,Pol0335
Pol0336,Neg0118,Pol0336
Pol0337,Pol0337,Pol0337
Pol0338,Ren0137,Pol0338
Pol0339,Ren0138,Pol0339
Pol0340,Neg0126,Pol0340
Pol0341,Ren0139,Pol0341
Pol0342,Ren0140,Pol0342
Pol0343,Ren0141,Pol0343
Pol0344,Ren0142,Pol0344
Pol0345,Neg0123,Pol0345
Pol0346,Ren0143,Pol0346
Pol0347,Ren0144,Pol0347
Pol0348,Ren0145,Pol0348
Pol0349,Neg0130,Pol0349
Pol0350,Ren0146,Pol0350
Pol0351,Ren0147,Pol0351
Pol0352,Ren0149,Pol0352
Pol0353,Ren0150,Pol0353
Pol0354,Pol0354,Pol0354
Pol0355,Ren0151,Pol0355
Pol0356,Ren0152,Pol0356
